Region,Cause,Sex,Rank,Number,Rate,Age_Adjusted_Rate
NORTHEAST,ALZHEIMER'S DISEASE,Female,6.0,66.0,36.7821216596539,21.4027231954934
NORTHEAST,CHRONIC LIVER DISEASE AND CIRRHOSIS,Total,9.0,95.0,26.8470031679464,20.9000928925854
NORTHEAST,CHRONIC LIVER DISEASE AND CIRRHOSIS,Male,8.0,65.0,37.2659412230109,29.2995316091468
NORTHEAST,CHRONIC LIVER DISEASE AND CIRRHOSIS,Female,10.0,30.0,16.7191462089336,12.9205486468404
NORTHEAST,SUICIDE,Total,10.0,90.0,25.4340030012124,22.5665394746826
NORTHEAST,SUICIDE,Male,7.0,74.0,42.4258407769662,38.1644432304948
NORTHEAST,SUICIDE,Female,15.0,16.0,8.91687797809792,7.24368704039703
NORTHEAST,"NEPHRITIS, NEPHROTIC SYNDROME, NEPHROSIS",Total,11.0,83.0,23.4558027677847,16.3526923932913
NORTHEAST,"NEPHRITIS, NEPHROTIC SYNDROME, NEPHROSIS",Male,10.0,41.0,23.5062090791299,18.5147531173667
NORTHEAST,"NEPHRITIS, NEPHROTIC SYNDROME, NEPHROSIS",Female,9.0,42.0,23.406804692507,14.5906701350208
SHELBY,DISEASES OF HEART,Total,1.0,2061.0,219.918349577343,207.510714276755
SHELBY,DISEASES OF HEART,Male,1.0,1127.0,253.465186208075,272.348195127622
SHELBY,DISEASES OF HEART,Female,1.0,934.0,189.633503813989,158.231811658954
SHELBY,MALIGNANT NEOPLASMS,Total,2.0,1694.0,180.757731287733,166.21096229603
SHELBY,MALIGNANT NEOPLASMS,Male,2.0,885.0,199.038766454434,207.161096445124
SHELBY,MALIGNANT NEOPLASMS,Female,2.0,809.0,164.254287564793,139.2651408082
SHELBY,ACCIDENTS AND ADVERSE EFFECTS,Total,3.0,576.0,61.4618968251089,61.0725237405731
SHELBY,ACCIDENTS AND ADVERSE EFFECTS,Male,3.0,377.0,84.7882654839791,87.8987998462087
SHELBY,ACCIDENTS AND ADVERSE EFFECTS,Female,5.0,199.0,40.4037122687192,37.2101002401205
SHELBY,CEREBROVASCULAR DISEASE,Total,4.0,491.0,52.3919988561258,50.3942225155866
SHELBY,CEREBROVASCULAR DISEASE,Male,4.0,225.0,50.6030762172289,54.5632426105266
SHELBY,CEREBROVASCULAR DISEASE,Female,3.0,266.0,54.006972178288,45.8651867267893
SHELBY,CHRONIC LOWER RESPIRATORY DISEASES,Total,5.0,319.0,34.0387935541836,31.9050230109057
SHELBY,CHRONIC LOWER RESPIRATORY DISEASES,Male,6.0,140.0,31.4863585351646,35.494282494176
SHELBY,CHRONIC LOWER RESPIRATORY DISEASES,Female,6.0,179.0,36.3430376688479,30.0541837992881
SHELBY,ALZHEIMER'S DISEASE,Total,6.0,294.0,31.3711765044827,32.4290739646538
SHELBY,ALZHEIMER'S DISEASE,Male,8.0,90.0,20.2412304868916,28.2651004993719
SHELBY,ALZHEIMER'S DISEASE,Female,4.0,204.0,41.418880918687,34.4697472734003
SHELBY,DIABETES MELLITUS,Total,7.0,240.0,25.6091236771287,23.6512077898574
